NAZIONE;CIRCOSCRIZIONE;ELETT_M;ELETT_F;ELETT_TOT;VOT_M;VOT_F;VOT_TOT;NULLE;BIANCHE;CONTESTATE
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;1580;1411;2991;356;371;727;4;2;0
AUSTRIA;II : ITALIA NORD-ORIENTALE;7398;6668;14066;1228;1703;2931;44;8;0
AUSTRIA;III : ITALIA CENTRALE;1382;1228;2610;274;315;589;18;3;0
AUSTRIA;IV : ITALIA MERIDIONALE;1801;1227;3028;232;201;433;13;3;0
AUSTRIA;V : ITALIA INSULARE;944;605;1549;150;97;247;37;1;0
BELGIO;I : ITALIA NORD-OCCIDENTALE;8598;7918;16516;1116;1147;2263;83;12;0
BELGIO;II : ITALIA NORD-ORIENTALE;14816;14113;28929;1042;1207;2249;75;16;0
BELGIO;III : ITALIA CENTRALE;9706;9420;19126;1350;1312;2662;46;11;0
BELGIO;IV : ITALIA MERIDIONALE;32762;30019;62781;1614;1268;2882;230;26;1
BELGIO;V : ITALIA INSULARE;47201;43079;90280;1941;1454;3395;283;30;6
BULGARIA;I : ITALIA NORD-OCCIDENTALE;472;182;654;50;44;94;1;0;0
BULGARIA;II : ITALIA NORD-ORIENTALE;323;100;423;49;11;60;0;0;0
BULGARIA;III : ITALIA CENTRALE;380;153;533;65;15;80;0;0;0
BULGARIA;IV : ITALIA MERIDIONALE;237;62;299;33;10;43;1;0;0
BULGARIA;V : ITALIA INSULARE;116;36;152;18;7;25;0;0;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;129;90;219;22;13;35;0;0;0
CIPRO;II : ITALIA NORD-ORIENTALE;85;64;149;27;12;39;0;0;0
CIPRO;III : ITALIA CENTRALE;187;130;317;69;36;105;0;0;0
CIPRO;IV : ITALIA MERIDIONALE;86;66;152;11;10;21;6;0;0
CIPRO;V : ITALIA INSULARE;125;97;222;20;14;34;2;9;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;261;277;538;24;25;49;0;0;0
CROAZIA;II : ITALIA NORD-ORIENTALE;5833;6424;12257;318;285;603;39;2;0
CROAZIA;III : ITALIA CENTRALE;313;370;683;39;38;77;2;0;0
CROAZIA;IV : ITALIA MERIDIONALE;99;107;206;13;11;24;0;0;0
CROAZIA;V : ITALIA INSULARE;0;0;0;0;0;0;0;0;0
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;1036;817;1853;190;164;354;9;2;0
DANIMARCA;II : ITALIA NORD-ORIENTALE;752;603;1355;153;119;272;3;1;0
DANIMARCA;III : ITALIA CENTRALE;840;590;1430;173;113;286;2;1;0
DANIMARCA;IV : ITALIA MERIDIONALE;649;396;1045;84;49;133;3;1;0
