NAZIONE;TERPA_DESCR_ENTE_CIRC;LISTE_DESCR_LISTA;MAX(VOTI_PREF.CANDI_DESCR_COGNOME);MAX(VOTI_PREF.CANDI_DESCR_NOME);PREFERENZE
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;GHELLER;MARCO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;MAGGI;ISA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;LOMBARDO;GIACOMO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;CIANALINO;PAOLO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;SCOPACASA;STEFANO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;PANERO;MASSIMILIANO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;DE ROSA;ANGELA ;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;BERTA;ELISABETTA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;POLLINI;MORENA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;LAURIA;GIUSEPPE;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;CAFARCHIO;LORENZO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;CAVALLI;ALLEGRA MIRIAM;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;MANTOAN;ADRIANA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;ZENESINI;GIULIA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;CASSARIN;CRISTINA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;LIBERALE;PATRIZIA   ;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;DI STEFANO;SIMONE;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;MORI;MARCO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;SICILIANO;LUCIA;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;CARU';SERGIO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;BOTTAZZI;RONNI;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;RACCA;MARCO;0
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;PASTORELLA;GIULIA;3
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;MANZI;SILVJA;3
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;DELLA VEDOVA;BENEDETTO;2
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;COGGI;PAOLA LETIZIA ;2
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;MARCELLINO;ELENA;2
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;RIVA;MARTINA;2
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;MARAZZI;MARCO;1
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;BERTONCINO;MAURIZIA;1
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;PAULON;MIRKO;1
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;INOUSSA;BARA;1
