NAZIONE;TERPA_DESCR_ENTE_CIRC;LISTE_DESCR_LISTA;VOTLI_NUM_VOTI_VAL
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;285
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;95
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;84
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;78
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;72
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;27
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;25
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;23
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;11
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;7
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;5
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;3
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;2
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;2
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;1
AUSTRIA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;1
AUSTRIA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;819
AUSTRIA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;594
AUSTRIA;II : ITALIA NORD-ORIENTALE;SVP;439
AUSTRIA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;358
AUSTRIA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;279
AUSTRIA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;123
AUSTRIA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;103
AUSTRIA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;59
AUSTRIA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;46
AUSTRIA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;18
AUSTRIA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;14
AUSTRIA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;11
AUSTRIA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5
AUSTRIA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;4
AUSTRIA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;4
AUSTRIA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;2
AUSTRIA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;1
AUSTRIA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;220
AUSTRIA;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;82
AUSTRIA;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;80
AUSTRIA;III : ITALIA CENTRALE;EUROPA VERDE;67
AUSTRIA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;44
AUSTRIA;III : ITALIA CENTRALE;LA SINISTRA;23
AUSTRIA;III : ITALIA CENTRALE;FRATELLI D'ITALIA;18
AUSTRIA;III : ITALIA CENTRALE;FORZA ITALIA;15
AUSTRIA;III : ITALIA CENTRALE;PARTITO COMUNISTA;7
AUSTRIA;III : ITALIA CENTRALE;PARTITO PIRATA;6
AUSTRIA;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4
AUSTRIA;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;1
