"Territorio"	"Tipo di indicatore demografico"	"Sesso"	"Età"	"Stato civile"	"Seleziona periodo"	"Value"	"Flags"
"Italia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	29427607	
"Italia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	31056366	
"Italia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	60483973	
"Torino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	420835	
"Torino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	882523	
"Vercelli"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	46181	
"Novara"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	50247	
"Novara"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	53936	
"Cuneo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	26919	
"Cuneo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	29362	
"Asti"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	36517	
"Alessandria"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	45196	
"Verona"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	121660	
"Verona"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	135615	
"Verona"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	257275	
"Vicenza"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	52800	
"Vicenza"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	58820	
"Vicenza"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	111620	
"Belluno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	16977	
"Belluno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	18733	
"Belluno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	35710	
"Treviso"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	40467	
"Treviso"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	44487	
"Treviso"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	84954	
"Venezia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	124110	
"Venezia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	137211	
"Venezia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	261321	
"Padova"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	99060	
"Padova"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	111380	
"Padova"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	210440	
"Rovigo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	24368	
"Rovigo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	26781	
"Rovigo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	51149	
"Udine"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	46245	
"Udine"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	53273	
"Udine"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	99518	
"Gorizia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	16573	
"Gorizia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	17838	
"Gorizia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	34411	
"Trieste"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	97685	
"Trieste"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	106653	
"Trieste"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	204338	
"Pordenone"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	24402	
"Pordenone"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	26725	
"Pordenone"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	51127	
"Imperia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	20276	
"Imperia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	22042	
"Imperia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	42318	
"Savona"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	28427	
"Savona"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	32205	
"Savona"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	60632	
"Genova"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	273966	
"Genova"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	306131	
"Genova"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	580097	
"La Spezia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	44399	
"La Spezia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	48912	
"La Spezia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	93311	
"Piacenza"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	49179	
"Piacenza"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	53903	
"Piacenza"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	103082	
"Parma"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	93793	
"Parma"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	101894	
"Parma"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	195687	
"Reggio nell'Emilia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	83838	
"Reggio nell'Emilia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	88106	
"Reggio nell'Emilia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	171944	
"Modena"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	88785	
"Modena"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	96488	
"Modena"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	185273	
