"ITTER107"	"TIPO_DATO15"	"SEXISTAT1"	"ETA1"	"TIME"	"Value"	"Flag Codes"
"IT"	"JAN"	"9"	"TOTAL"	"2018"	5144440	
"001272"	"JAN"	"9"	"TOTAL"	"2018"	133546	
"002158"	"JAN"	"9"	"TOTAL"	"2018"	5042	
"003106"	"JAN"	"9"	"TOTAL"	"2018"	15593	
"004078"	"JAN"	"9"	"TOTAL"	"2018"	6296	
"005005"	"JAN"	"9"	"TOTAL"	"2018"	9431	
"006003"	"JAN"	"9"	"TOTAL"	"2018"	13997	
"096004"	"JAN"	"9"	"TOTAL"	"2018"	3597	
"103072"	"JAN"	"9"	"TOTAL"	"2018"	2801	
"007003"	"JAN"	"9"	"TOTAL"	"2018"	2746	
"012133"	"JAN"	"9"	"TOTAL"	"2018"	10096	
"013075"	"JAN"	"9"	"TOTAL"	"2018"	11872	
"014061"	"JAN"	"9"	"TOTAL"	"2018"	1963	
"015146"	"JAN"	"9"	"TOTAL"	"2018"	262521	
"016024"	"JAN"	"9"	"TOTAL"	"2018"	19960	
"017029"	"JAN"	"9"	"TOTAL"	"2018"	36354	
"018110"	"JAN"	"9"	"TOTAL"	"2018"	10715	
"019036"	"JAN"	"9"	"TOTAL"	"2018"	10899	
"020030"	"JAN"	"9"	"TOTAL"	"2018"	7058	
"097042"	"JAN"	"9"	"TOTAL"	"2018"	5023	
"098031"	"JAN"	"9"	"TOTAL"	"2018"	6269	
"108033"	"JAN"	"9"	"TOTAL"	"2018"	15615	
"021008"	"JAN"	"9"	"TOTAL"	"2018"	15161	
"022205"	"JAN"	"9"	"TOTAL"	"2018"	13259	
"023091"	"JAN"	"9"	"TOTAL"	"2018"	35639	
"024116"	"JAN"	"9"	"TOTAL"	"2018"	16704	
"025006"	"JAN"	"9"	"TOTAL"	"2018"	2668	
"026086"	"JAN"	"9"	"TOTAL"	"2018"	11779	
"027042"	"JAN"	"9"	"TOTAL"	"2018"	36051	
"028060"	"JAN"	"9"	"TOTAL"	"2018"	33555	
"029041"	"JAN"	"9"	"TOTAL"	"2018"	4922	
"030129"	"JAN"	"9"	"TOTAL"	"2018"	13971	
"031007"	"JAN"	"9"	"TOTAL"	"2018"	3234	
"032006"	"JAN"	"9"	"TOTAL"	"2018"	20870	
"093033"	"JAN"	"9"	"TOTAL"	"2018"	7070	
"008031"	"JAN"	"9"	"TOTAL"	"2018"	5625	
"009056"	"JAN"	"9"	"TOTAL"	"2018"	6242	
"010025"	"JAN"	"9"	"TOTAL"	"2018"	55947	
"011015"	"JAN"	"9"	"TOTAL"	"2018"	11767	
"033032"	"JAN"	"9"	"TOTAL"	"2018"	19148	
"034027"	"JAN"	"9"	"TOTAL"	"2018"	32306	
"035033"	"JAN"	"9"	"TOTAL"	"2018"	28242	
"036023"	"JAN"	"9"	"TOTAL"	"2018"	28152	
"037006"	"JAN"	"9"	"TOTAL"	"2018"	59698	
"038008"	"JAN"	"9"	"TOTAL"	"2018"	13616	
"039014"	"JAN"	"9"	"TOTAL"	"2018"	19350	
"040012"	"JAN"	"9"	"TOTAL"	"2018"	14039	
"099014"	"JAN"	"9"	"TOTAL"	"2018"	19127	
"045010"	"JAN"	"9"	"TOTAL"	"2018"	4813	
"046017"	"JAN"	"9"	"TOTAL"	"2018"	9313	
"047014"	"JAN"	"9"	"TOTAL"	"2018"	7686	
"048017"	"JAN"	"9"	"TOTAL"	"2018"	59992	
"049009"	"JAN"	"9"	"TOTAL"	"2018"	11846	
"050026"	"JAN"	"9"	"TOTAL"	"2018"	12336	
"051002"	"JAN"	"9"	"TOTAL"	"2018"	12141	
